SampleName,Basename,Tumor_Line,Tissue,Treatment
GSM7901028,GSM7901028_204094670058_R01C01,SCC15,tumor cell line,DMSO
GSM7901029,GSM7901029_204094670058_R02C01,SCC15,tumor cell line,DMSO
GSM7901030,GSM7901030_204094670058_R03C01,SCC15,tumor cell line,DMSO
GSM7901031,GSM7901031_204094670058_R04C01,SCC15,tumor cell line,JQ1
GSM7901032,GSM7901032_204094670058_R05C01,SCC15,tumor cell line,JQ1
GSM7901033,GSM7901033_204094670058_R06C01,SCC15,tumor cell line,JQ1
GSM7901034,GSM7901034_204094670068_R03C01,SCC25,tumor cell line,DMSO
GSM7901035,GSM7901035_204094670068_R04C01,SCC25,tumor cell line,DMSO
GSM7901036,GSM7901036_204094670068_R05C01,SCC25,tumor cell line,DMSO
GSM7901037,GSM7901037_204094670068_R06C01,SCC25,tumor cell line,JQ1
GSM7901038,GSM7901038_204094670068_R07C01,SCC25,tumor cell line,JQ1
GSM7901039,GSM7901039_204094670068_R08C01,SCC25,tumor cell line,JQ1
